2,logan@cardid.co                                   ,la;sldkfj                                         ,Logan                                             
3,rosslyn@cardid.co                                 ,ra;sldkfj                                         ,Rosslyn                                           
4,bradey@cardid.co                                  ,ba;sldkfj                                         ,Bradey                                            
5,annika@cardid.co                                  ,aa;sldkfj                                         ,Annika                                            
6,dchambers@cardid.co                               ,da;sldkfj                                         ,DChambers                                         
7,marquetter@cardid.co                              ,ma;sldkfj                                         ,MarquetteR                                        
8,becky@cardid.co                                   ,ba;sldkfj                                         ,Becky                                             
9,caesar@cardid.co                                  ,ca;sldkfj                                         ,Caesar                                            
10,gdaugherty@cardid.co                              ,ga;sldkfj                                         ,GDaugherty                                        
11,hamlet@cardid.co                                  ,ha;sldkfj                                         ,Hamlet                                            
12,lena@cardid.co                                    ,la;sldkfj                                         ,Lena                                              
13,champlainer@cardid.co                             ,ca;sldkfj                                         ,Champlainer                                       
14,hazel@cardid.co                                   ,ha;sldkfj                                         ,Hazel                                             
15,dirkknight@cardid.co                              ,da;sldkfj                                         ,DirkKnight                                        
16,stew@cardid.co                                    ,sa;sldkfj                                         ,Stew                                              
17,janine@cardid.co                                  ,ja;sldkfj                                         ,Janine                                            
18,goodfellow@cardid.co                              ,ga;sldkfj                                         ,Goodfellow                                        
19,larat@cardid.co                                   ,la;sldkfj                                         ,LaraT                                             
20,falconer@cardid.co                                ,fa;sldkfj                                         ,Falconer                                          
21,kamwithak@cardid.co                               ,ka;sldkfj                                         ,KamWithaK                                         
22,benedict@cardid.co                                ,ba;sldkfj                                         ,Benedict                                          
23,quickbrownfox@cardid.co                           ,qa;sldkfj                                         ,QuickBrownFox                                     
24,samantha@cardid.co                                ,sa;sldkfj                                         ,Samantha                                          
25,elliot@cardid.co                                  ,ea;sldkfj                                         ,Elliot                                            
26,fross_t@cardid.co                                 ,fa;sldkfj                                         ,Fross_T                                           
27,geneva@cardid.co                                  ,ga;sldkfj                                         ,Geneva                                            
28,petrov@cardid.co                                  ,pa;sldkfj                                         ,Petrov                                            
46,miss_steak@cardid.co                              ,ma;sldkfj                                         ,Miss_Steak                                        
63,alex@cardid.co                                    ,aa;sldkfj                                         ,Alex                                              
69,thebranflake@cardid.co                            ,ta;sldkfj                                         ,TheBranFlake                                      
70,goldenb@cardid.co                                 ,ga;sldkfj                                         ,GoldenB                                           
